row_id,price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
67,67000.0,6000,2,1,1,yes,no,yes,no,yes,1,no
68,47000.0,2500,2,1,1,no,no,no,no,yes,0,no
69,70000.0,4095,3,1,2,no,yes,yes,no,yes,0,no
70,45000.0,4095,2,1,1,yes,no,no,no,no,2,no
71,51000.0,3150,3,1,2,yes,no,yes,no,no,0,no
72,32500.0,1836,2,1,1,no,no,yes,no,no,0,no
73,34000.0,2475,3,1,2,yes,no,no,no,no,0,no
74,35000.0,3210,3,1,2,yes,no,yes,no,no,0,no
75,36000.0,3180,3,1,1,no,no,no,no,no,0,no
76,45000.0,1650,3,1,2,no,no,yes,no,no,0,no
77,47000.0,3180,4,1,2,yes,no,yes,no,yes,0,no
78,55000.0,3180,2,2,1,yes,no,yes,no,no,2,no
79,63900.0,6360,2,1,1,yes,no,yes,no,yes,1,no
80,50000.0,4240,3,1,2,yes,no,no,no,yes,0,no
81,35000.0,3240,2,1,1,no,yes,no,no,no,1,no
82,50000.0,3650,3,1,2,yes,no,no,no,no,0,no
83,43000.0,3240,3,1,2,yes,no,no,no,no,2,no
84,55500.0,3780,2,1,2,yes,yes,yes,no,no,0,no
85,57000.0,6480,3,1,2,no,no,no,no,yes,1,no
86,60000.0,5850,2,1,1,yes,yes,yes,no,no,2,no
87,78000.0,3150,3,2,1,yes,yes,yes,no,yes,0,no
88,35000.0,3000,2,1,1,yes,no,no,no,no,1,no
89,44000.0,3090,2,1,1,yes,yes,yes,no,no,0,no
90,47000.0,6060,3,1,1,yes,yes,yes,no,no,0,no
91,58000.0,5900,4,2,2,no,no,yes,no,no,1,no
92,163000.0,7420,4,1,2,yes,yes,yes,no,yes,2,no
93,128000.0,8500,3,2,4,yes,no,no,no,yes,2,no
94,123500.0,8050,3,1,1,yes,yes,yes,no,yes,1,no
95,39000.0,6800,2,1,1,yes,no,no,no,no,0,no
96,53900.0,8250,3,1,1,yes,no,no,no,no,2,no
97,59900.0,8250,3,1,1,yes,no,yes,no,no,3,no
98,35000.0,3500,2,1,1,yes,yes,no,no,no,0,no
99,43000.0,2835,2,1,1,yes,no,no,no,no,0,no
100,57000.0,4500,3,2,2,no,no,yes,no,yes,0,no
101,79000.0,3300,3,3,2,yes,no,yes,no,no,0,no
102,125000.0,4320,3,1,2,yes,no,yes,yes,no,2,no
103,132000.0,3500,4,2,2,yes,no,no,yes,no,2,no
104,58000.0,4992,3,2,2,yes,no,no,no,no,2,no
105,43000.0,4600,2,1,1,yes,no,no,no,no,0,no
106,48000.0,3720,2,1,1,no,no,no,no,yes,0,no
107,58500.0,3680,3,2,2,yes,no,no,no,no,0,no
108,73000.0,3000,3,2,2,yes,yes,yes,no,no,0,no
109,63500.0,3750,2,1,1,yes,yes,yes,no,no,0,no
110,43000.0,5076,3,1,1,no,no,no,no,no,0,no
111,46500.0,4500,2,1,1,no,no,no,no,no,0,no
112,92000.0,5000,3,1,2,yes,no,no,no,yes,0,no
113,75000.0,4260,4,1,2,yes,no,yes,no,yes,0,no
114,75000.0,6540,4,2,2,no,no,no,no,yes,0,no
115,85000.0,3700,4,1,2,yes,yes,no,no,yes,0,no
116,93000.0,3760,3,1,2,yes,no,no,yes,no,2,no
117,94500.0,4000,3,2,2,yes,no,yes,no,yes,1,no
118,106500.0,4300,3,2,2,yes,no,yes,no,no,1,no
119,116000.0,6840,5,1,2,yes,yes,yes,no,yes,1,no
120,61500.0,4400,2,1,1,yes,no,no,no,no,1,no
121,80000.0,10500,4,2,2,yes,no,no,no,no,1,no
122,37000.0,4400,2,1,1,yes,no,no,no,no,0,no
123,59500.0,4840,3,1,2,yes,no,no,no,no,1,no
124,70000.0,4120,2,1,1,yes,no,yes,no,no,1,no
125,95000.0,4260,4,2,2,yes,no,no,yes,no,0,no
126,117000.0,5960,3,3,2,yes,yes,yes,no,no,1,no
127,122500.0,8800,3,2,2,yes,no,no,no,yes,2,no
128,123500.0,4560,3,2,2,yes,yes,yes,no,yes,1,no
129,127000.0,4600,3,2,2,yes,yes,no,no,yes,2,no
130,35000.0,4840,2,1,2,yes,no,no,no,no,0,no
131,44500.0,3850,3,1,2,yes,no,no,no,no,0,no
132,49900.0,4900,3,1,2,no,no,no,no,no,0,no
133,50500.0,3850,3,1,1,yes,no,no,no,no,2,no
134,65000.0,3760,3,1,1,yes,no,no,no,no,2,no
135,90000.0,6000,4,2,4,yes,no,no,no,no,1,no
136,46000.0,4370,3,1,2,yes,no,no,no,no,0,no
137,35000.0,7700,2,1,1,yes,no,no,no,no,0,no
138,26500.0,2990,2,1,1,no,no,no,no,no,1,no
139,43000.0,3750,3,1,2,yes,no,no,no,no,0,no
140,56000.0,3000,3,1,2,yes,no,no,no,no,0,no
141,40000.0,2650,3,1,2,yes,no,yes,no,no,1,no
142,51000.0,4500,4,2,2,yes,no,yes,no,no,2,no
143,51000.0,4500,2,1,1,no,no,no,no,no,0,no
144,57250.0,4500,3,1,2,no,no,yes,no,yes,0,no
145,44000.0,4500,2,1,2,yes,no,no,yes,no,1,no
146,61000.0,2175,3,1,2,no,yes,yes,no,yes,0,no
147,62000.0,4500,3,2,3,yes,no,no,yes,no,1,no
148,80000.0,4800,5,2,3,no,no,yes,yes,no,0,no
149,50000.0,4600,4,1,2,yes,no,no,no,no,0,no
150,59900.0,3450,3,1,2,yes,no,no,no,no,1,no
151,35500.0,3000,3,1,2,no,no,no,no,no,0,no
152,37000.0,3600,2,2,2,yes,no,yes,no,no,1,no
153,42000.0,3600,3,1,2,no,no,no,no,no,1,no
154,48000.0,3750,3,1,1,yes,no,no,no,no,0,no
155,60000.0,2610,4,3,2,no,no,no,no,no,0,no
156,60000.0,2953,3,1,2,yes,no,yes,no,yes,0,no
157,60000.0,2747,4,2,2,no,no,no,no,no,0,no
158,62000.0,1905,5,1,2,no,no,yes,no,no,0,no
159,63000.0,3968,3,1,2,no,no,no,no,no,0,no
160,63900.0,3162,3,1,2,yes,no,no,no,yes,1,no
161,130000.0,6000,4,1,2,yes,no,yes,no,no,2,no
162,25000.0,2910,3,1,1,no,no,no,no,no,0,no
163,50000.0,2135,3,2,2,no,no,no,no,no,0,no
164,52900.0,3120,3,1,2,no,no,yes,yes,no,0,no
165,62000.0,4075,3,1,1,yes,yes,yes,no,no,2,no
166,73500.0,3410,3,1,2,no,no,no,no,yes,0,no
167,38000.0,2800,3,1,1,yes,no,no,no,no,0,no
168,46000.0,2684,2,1,1,yes,no,no,no,yes,1,no
169,48000.0,3100,3,1,2,no,no,yes,no,no,0,no
170,52500.0,3630,2,1,1,yes,no,yes,no,no,0,no
171,32000.0,1950,3,1,1,no,no,no,yes,no,0,no
172,38000.0,2430,3,1,1,no,no,no,no,no,0,no
173,46000.0,4320,3,1,1,no,no,no,no,no,1,no
174,50000.0,3036,3,1,2,yes,no,yes,no,no,0,no
175,57500.0,3630,3,2,2,yes,no,no,yes,no,2,no
176,70000.0,5400,4,1,2,yes,no,no,no,no,0,no
177,69900.0,3420,4,2,2,yes,no,yes,no,yes,2,no
178,74500.0,3180,3,2,2,yes,no,no,no,no,2,no
179,42000.0,3660,4,1,2,no,no,no,no,no,0,no
180,60000.0,4410,2,1,1,no,no,no,no,no,1,no
181,50000.0,3990,3,1,2,yes,no,no,no,no,0,no
182,58000.0,4340,3,1,1,yes,no,no,no,no,0,no
183,63900.0,3510,3,1,2,yes,no,no,no,no,0,no
184,28000.0,3420,5,1,2,no,no,no,no,no,0,no
185,54000.0,3420,2,1,2,yes,no,no,yes,no,1,no
186,44700.0,5495,3,1,1,yes,no,yes,no,no,0,no
187,47000.0,3480,4,1,2,no,no,no,no,no,1,no
188,50000.0,7424,3,1,1,no,no,no,no,no,0,no
189,57250.0,3460,4,1,2,yes,no,no,no,yes,0,no
190,67000.0,3630,3,1,2,yes,no,no,no,no,2,no
191,52500.0,3630,2,1,1,yes,no,no,no,yes,0,no
192,42000.0,3480,3,1,2,no,no,no,no,no,1,no
193,57500.0,3460,3,2,1,yes,no,yes,no,yes,1,no
194,33000.0,3180,2,1,1,yes,no,no,no,no,0,no
195,34400.0,3635,2,1,1,no,no,no,no,no,0,no
196,40000.0,3960,3,1,1,yes,no,no,no,no,0,no
197,40500.0,4350,3,1,2,no,no,no,yes,no,1,no
198,46500.0,3930,2,1,1,no,no,no,no,no,0,no
199,52000.0,3570,3,1,2,yes,no,yes,no,no,0,no
200,53000.0,3600,3,1,1,yes,no,no,no,no,1,no
201,53900.0,2520,5,2,1,no,no,yes,no,yes,1,no
202,50000.0,3480,3,1,1,no,no,no,no,yes,0,no
203,55500.0,3180,4,2,2,yes,no,no,no,no,0,no
204,56000.0,3290,2,1,1,yes,no,no,yes,no,1,no
205,60000.0,4000,4,2,2,no,no,no,no,no,0,no
206,60000.0,2325,3,1,2,no,no,no,no,no,0,no
207,69500.0,4350,2,1,1,yes,no,yes,no,no,0,no
208,72000.0,3540,2,1,1,no,yes,yes,no,no,0,no
209,92500.0,3960,3,1,1,yes,no,yes,no,no,2,no
210,40500.0,2640,2,1,1,no,no,no,no,no,1,no
211,42000.0,2700,2,1,1,no,no,no,no,no,0,no
212,47900.0,2700,3,1,1,no,no,no,no,no,0,no
213,52000.0,3180,3,1,2,no,no,yes,no,no,0,no
214,62000.0,3500,4,1,2,yes,no,no,no,no,2,no
215,41000.0,3630,2,1,1,yes,no,no,no,no,0,no
216,138300.0,6000,4,3,2,yes,yes,yes,yes,no,2,no
217,42000.0,3150,3,1,2,no,no,no,no,no,0,no
218,47000.0,3792,4,1,2,yes,no,no,no,no,0,no
219,64500.0,3510,3,1,3,yes,no,no,no,no,0,no
220,46000.0,3120,3,1,2,no,no,no,no,no,0,no
221,58000.0,3000,4,1,3,yes,no,yes,no,yes,2,no
222,70100.0,4200,3,1,2,yes,no,no,no,no,1,no
223,78500.0,2817,4,2,2,no,yes,yes,no,no,1,no
224,87250.0,3240,4,1,3,yes,no,no,no,no,1,no
225,70800.0,2800,3,2,2,no,no,yes,no,yes,1,no
226,56000.0,3816,2,1,1,yes,no,yes,no,yes,2,no
227,48000.0,3185,2,1,1,yes,no,yes,no,no,2,no
228,68000.0,6321,3,1,2,yes,no,yes,no,yes,1,no
229,79000.0,3650,3,2,2,yes,no,no,no,no,2,no
230,80000.0,4700,4,1,2,yes,yes,yes,no,yes,1,no
231,87000.0,6615,4,2,2,yes,yes,no,yes,no,1,no
232,25000.0,3850,3,1,2,yes,no,no,no,no,0,no
233,32500.0,3970,1,1,1,no,no,no,no,no,0,no
234,36000.0,3000,2,1,2,yes,no,no,no,no,0,no
235,42500.0,4352,4,1,2,no,no,no,no,no,1,no
236,43000.0,3630,4,1,2,yes,no,no,no,no,3,no
237,50000.0,3600,6,1,2,yes,no,no,no,no,1,no
238,26000.0,3000,2,1,1,yes,no,yes,no,no,2,no
239,30000.0,3000,4,1,2,yes,no,no,no,no,0,no
240,34000.0,2787,4,2,2,yes,no,no,no,no,0,no
241,52000.0,3000,2,1,2,yes,no,no,no,yes,0,no
242,70000.0,4770,3,1,1,yes,yes,yes,no,no,0,no
243,27000.0,3649,2,1,1,yes,no,no,no,no,0,no
244,32500.0,3970,3,1,2,yes,no,yes,no,no,0,no
245,37200.0,2910,2,1,1,no,no,no,no,no,0,no
246,38000.0,3480,2,1,1,yes,no,no,no,no,1,no
247,42000.0,6615,3,1,2,yes,no,no,no,no,0,no
248,44500.0,3500,2,1,1,yes,no,no,no,no,0,no
249,45000.0,3450,3,1,2,yes,no,yes,no,no,0,no
250,48500.0,3450,3,1,1,yes,no,yes,no,no,2,no
251,52000.0,3520,2,2,1,yes,no,yes,no,no,0,no
252,53900.0,6930,4,1,2,no,no,no,no,no,1,no
253,60000.0,4600,3,2,2,yes,no,no,no,yes,1,no
254,61000.0,4360,4,1,2,yes,no,no,no,no,0,no
255,64500.0,3450,3,1,2,yes,no,yes,no,no,1,no
256,71000.0,4410,4,3,2,yes,no,yes,no,no,2,no
257,75500.0,4600,2,2,1,yes,no,no,no,yes,2,no
258,33500.0,3640,2,1,1,yes,no,no,no,no,0,no
259,41000.0,6000,2,1,1,yes,no,no,no,no,0,no
260,41000.0,5400,4,1,2,yes,no,no,no,no,0,no
261,46200.0,3640,4,1,2,yes,no,yes,no,no,0,no
262,48500.0,3640,2,1,1,yes,no,no,no,no,0,no
263,48900.0,4040,2,1,1,yes,no,no,no,no,0,no
264,50000.0,3640,2,1,1,yes,no,no,no,no,1,no
265,51000.0,3640,2,1,1,yes,no,no,no,no,0,no
266,52500.0,5640,2,1,1,no,no,no,no,no,0,no
267,52500.0,3600,2,1,1,yes,no,no,no,no,0,no
268,54000.0,3600,2,1,1,yes,no,no,no,no,0,no
269,59000.0,4632,4,1,2,yes,no,no,no,yes,0,no
270,60000.0,3640,3,2,2,yes,no,yes,no,no,0,no
271,63000.0,4900,2,1,2,yes,no,yes,no,no,0,no
272,64000.0,4510,4,1,2,yes,no,no,no,yes,2,no
273,64900.0,4100,2,2,1,yes,yes,yes,no,no,0,no
274,65000.0,3640,3,1,2,yes,no,no,no,yes,0,no
275,66000.0,5680,3,1,2,yes,yes,no,no,yes,1,no
276,70000.0,6300,3,1,1,yes,no,no,no,yes,2,no
277,65500.0,4000,3,1,2,yes,no,no,no,no,1,no
278,57000.0,3960,3,1,2,yes,no,no,no,no,0,no
279,52000.0,5960,3,1,2,yes,yes,yes,no,no,0,no
280,54000.0,5830,2,1,1,yes,no,no,no,no,2,no
281,74500.0,4500,4,2,1,no,no,yes,no,yes,2,no
282,90000.0,4100,3,2,3,yes,no,no,no,yes,2,no
283,45000.0,6750,2,1,1,yes,no,no,no,no,0,no
284,45000.0,9000,3,1,2,yes,no,no,no,no,2,no
285,65000.0,2550,3,1,2,yes,no,yes,no,no,0,no
286,55000.0,7152,3,1,2,yes,no,no,no,yes,0,no
287,62000.0,6450,4,1,2,yes,no,no,no,no,0,no
288,30000.0,3360,2,1,1,yes,no,no,no,no,1,no
289,34000.0,3264,2,1,1,yes,no,no,no,no,0,no
290,38000.0,4000,3,1,1,yes,no,no,no,no,0,no
291,39000.0,4000,3,1,2,yes,no,no,no,no,1,no
292,45000.0,3069,2,1,1,yes,no,no,no,no,1,no
293,47000.0,4040,2,1,1,yes,no,no,no,no,0,no
294,47500.0,4040,2,1,1,yes,no,no,no,no,1,no
295,49000.0,3185,2,1,1,yes,no,no,no,no,2,no
296,50000.0,5900,2,1,1,yes,no,no,no,no,1,no
297,50000.0,3120,3,1,2,yes,no,no,no,no,1,no
298,52900.0,5450,2,1,1,yes,no,no,no,no,0,no
299,53000.0,4040,2,1,1,yes,no,no,no,no,0,no
300,55000.0,4080,2,1,1,yes,no,no,no,no,0,no
301,56000.0,8080,3,1,1,yes,no,no,no,yes,2,no
302,58500.0,4040,2,1,2,yes,no,no,no,no,1,no
303,59500.0,4080,3,1,2,yes,no,no,no,no,2,no
304,60000.0,5800,3,1,1,yes,no,no,yes,no,2,no
305,64000.0,5885,2,1,1,yes,no,no,no,yes,1,no
306,67000.0,9667,4,2,2,yes,yes,yes,no,no,1,no
307,68100.0,3420,4,2,2,yes,no,no,no,no,0,no
308,70000.0,5800,2,1,1,yes,yes,yes,no,yes,0,no
309,72000.0,7600,4,1,2,yes,no,no,no,yes,2,no
310,57500.0,5400,3,1,1,yes,no,no,no,no,3,no
311,69900.0,4995,4,2,1,yes,no,yes,no,no,0,no
312,70000.0,3000,3,1,2,yes,no,yes,no,yes,0,no
313,75000.0,5500,3,2,1,yes,no,yes,no,no,0,no
314,76900.0,6450,3,2,1,yes,yes,yes,yes,no,0,no
315,78000.0,6210,4,1,4,yes,yes,no,no,yes,0,no
316,80000.0,5000,3,1,4,yes,no,no,no,no,0,no
317,82000.0,5000,3,1,3,yes,no,no,no,yes,0,no
318,83000.0,5828,4,1,4,yes,yes,no,no,no,0,no
319,83000.0,5200,3,1,3,yes,no,no,no,yes,0,no
320,83900.0,5500,3,1,3,yes,yes,no,no,yes,1,no
321,88500.0,6350,3,2,3,yes,yes,no,no,yes,0,no
322,93000.0,8250,3,2,3,yes,no,no,no,yes,0,no
323,98000.0,6000,3,1,1,yes,no,no,no,yes,1,no
324,98500.0,7700,3,2,1,yes,no,no,no,no,2,no
325,99000.0,8880,3,2,2,yes,no,yes,no,yes,1,no
326,101000.0,8880,2,1,1,yes,no,no,no,yes,1,no
327,110000.0,6480,3,2,4,yes,no,no,no,yes,2,no
328,115442.0,7000,3,2,4,yes,no,no,no,yes,2,no
329,120000.0,8875,3,1,1,yes,no,no,no,no,1,no
330,124000.0,7155,3,2,1,yes,yes,yes,no,yes,2,no
331,175000.0,8960,4,4,4,yes,no,no,no,yes,3,no
332,50000.0,7350,2,1,1,yes,no,no,no,no,1,no
333,55000.0,3850,2,1,1,yes,no,no,no,no,0,no
334,60000.0,7000,3,1,1,yes,no,no,no,no,3,no
335,61000.0,7770,2,1,1,yes,no,no,no,no,1,no
336,106000.0,7440,3,2,1,yes,yes,yes,no,yes,0,yes
337,155000.0,7500,3,3,1,yes,no,yes,no,yes,2,yes
338,141000.0,8100,4,1,2,yes,yes,yes,no,yes,2,yes
339,62500.0,3900,3,1,2,yes,no,no,no,no,0,no
340,70000.0,2970,3,1,3,yes,no,no,no,no,0,no
341,73000.0,3000,3,1,2,yes,no,yes,no,no,0,no
342,80000.0,10500,2,1,1,yes,no,no,no,no,1,no
343,80000.0,5500,3,2,2,yes,no,no,no,no,1,no
344,88000.0,4500,3,1,4,yes,no,no,no,yes,0,no
345,49000.0,3850,3,1,1,yes,no,no,no,no,0,no
346,52000.0,4130,3,2,2,yes,no,no,no,no,2,no
347,59500.0,4046,3,1,2,yes,no,yes,no,no,1,no
348,60000.0,4079,3,1,3,yes,no,no,no,no,0,no
349,64000.0,4000,3,1,2,yes,no,no,no,no,2,no
350,64500.0,9860,3,1,1,yes,no,no,no,no,0,no
351,68500.0,7000,3,1,2,yes,no,yes,no,no,0,no
352,78500.0,7980,3,1,1,yes,no,no,no,no,2,no
353,86000.0,6800,2,1,1,yes,yes,yes,no,no,2,no
354,86900.0,4300,6,2,2,yes,no,no,no,no,0,no
355,75000.0,10269,3,1,1,yes,no,no,no,no,1,yes
356,78000.0,6100,3,1,3,yes,yes,no,no,yes,0,yes
357,95000.0,6420,3,2,3,yes,no,no,no,yes,0,yes
358,97000.0,12090,4,2,2,yes,no,no,no,no,2,yes
359,107000.0,6600,3,1,4,yes,no,no,no,yes,3,yes
360,130000.0,6600,4,2,2,yes,yes,yes,no,yes,1,yes
361,145000.0,8580,4,3,4,yes,no,no,no,yes,2,yes
362,175000.0,9960,3,2,2,yes,no,yes,no,no,2,yes
363,72000.0,10700,3,1,2,yes,yes,yes,no,no,0,no
364,84900.0,15600,3,1,1,yes,no,no,no,yes,2,no
365,99000.0,13200,2,1,1,yes,no,yes,yes,no,1,no
366,114000.0,9000,4,2,4,yes,no,no,no,yes,2,no
367,120000.0,7950,5,2,2,yes,no,yes,yes,no,2,no
368,145000.0,16200,5,3,2,yes,no,no,no,no,0,no
369,79000.0,6100,3,2,1,yes,no,yes,no,no,2,yes
370,82000.0,6360,3,1,1,yes,yes,yes,no,yes,2,yes
371,85000.0,6420,3,1,1,yes,no,yes,no,yes,0,yes
372,100500.0,6360,4,2,3,yes,no,no,no,yes,2,yes
373,122000.0,6540,4,2,2,yes,yes,yes,no,yes,2,yes
374,126500.0,6420,3,2,2,yes,no,no,no,yes,1,yes
375,133000.0,6550,4,2,2,yes,no,no,no,yes,1,yes
376,140000.0,5750,3,2,4,yes,yes,no,no,yes,1,yes
377,190000.0,7420,4,2,3,yes,no,no,no,yes,2,yes
378,84000.0,7160,3,1,1,yes,no,yes,no,no,2,yes
379,97000.0,4000,3,2,2,yes,no,yes,no,yes,0,yes
380,103500.0,9000,4,2,4,yes,yes,no,no,yes,1,yes
381,112500.0,6550,3,1,2,yes,no,yes,no,yes,0,yes
382,140000.0,13200,3,1,2,yes,no,yes,no,yes,2,yes
383,74700.0,7085,3,1,1,yes,yes,yes,no,no,2,yes
384,78000.0,6600,4,2,2,yes,yes,yes,no,no,0,yes
385,78900.0,6900,3,1,1,yes,yes,yes,no,no,0,yes
386,83900.0,11460,3,1,3,yes,no,no,no,no,2,yes
387,85000.0,7020,3,1,1,yes,no,yes,no,yes,2,yes
388,85000.0,6540,3,1,1,yes,yes,yes,no,no,2,yes
389,86000.0,8000,3,1,1,yes,yes,yes,no,yes,2,yes
390,86900.0,9620,3,1,1,yes,no,yes,no,no,2,yes
391,94500.0,10500,3,2,1,yes,no,yes,no,yes,1,yes
392,96000.0,5020,3,1,4,yes,no,no,no,yes,0,yes
393,106000.0,7440,3,2,4,yes,no,no,no,no,1,yes
394,72000.0,6600,3,1,1,yes,yes,yes,no,no,0,yes
395,74500.0,7200,3,1,2,yes,yes,yes,no,no,1,yes
396,77000.0,6710,3,2,2,yes,yes,yes,no,no,1,yes
397,80750.0,6660,4,2,2,yes,yes,yes,no,no,1,yes
398,82900.0,7000,3,1,1,yes,no,yes,no,no,2,yes
399,85000.0,7231,3,1,2,yes,yes,yes,no,yes,0,yes
400,92500.0,7410,3,1,1,yes,yes,yes,no,yes,2,yes
401,76000.0,7800,3,1,1,yes,no,yes,no,yes,2,yes
402,77500.0,6825,3,1,1,yes,yes,yes,no,yes,0,yes
403,80000.0,6360,3,1,3,yes,no,no,no,no,0,yes
404,80000.0,6600,4,2,1,yes,no,yes,no,no,0,yes
405,86000.0,6900,3,2,1,yes,yes,yes,no,no,0,yes
406,87000.0,6600,3,1,1,yes,yes,yes,no,no,2,yes
407,87500.0,6420,3,1,3,yes,no,yes,no,no,0,yes
408,89000.0,6600,3,2,1,yes,no,yes,no,yes,0,yes
409,89900.0,6600,3,2,3,yes,no,no,no,yes,0,yes
410,90000.0,9000,3,1,1,yes,no,yes,no,no,1,yes
411,95000.0,6500,3,2,3,yes,no,no,no,yes,0,yes
412,112000.0,6360,3,2,4,yes,no,no,no,yes,0,yes
413,31900.0,5300,3,1,1,no,no,no,no,yes,0,yes
414,52000.0,2850,3,2,2,no,no,yes,no,no,0,yes
415,90000.0,6400,3,1,1,yes,yes,yes,no,yes,1,yes
416,100000.0,11175,3,1,1,yes,no,yes,no,yes,1,yes
417,91700.0,6750,2,1,1,yes,yes,yes,no,no,2,yes
418,174500.0,7500,4,2,2,yes,no,yes,no,yes,3,yes
419,94700.0,6000,3,1,2,yes,no,no,yes,no,1,yes
420,68000.0,10240,2,1,1,yes,no,no,no,yes,2,yes
421,80000.0,5136,3,1,2,yes,yes,yes,no,yes,0,yes
422,61100.0,3400,3,1,2,yes,no,yes,no,no,2,yes
423,62900.0,2880,3,1,2,yes,no,no,no,no,0,yes
424,65500.0,3840,3,1,2,yes,no,no,no,no,1,yes
425,66000.0,2870,2,1,2,yes,yes,yes,no,no,0,yes
426,49500.0,5320,2,1,1,yes,no,no,no,no,1,yes
427,50000.0,3512,2,1,1,yes,no,no,no,no,1,yes
428,53500.0,3480,2,1,1,yes,no,no,no,no,0,yes
429,58550.0,3600,3,1,1,yes,no,yes,no,yes,0,yes
430,64500.0,3520,2,1,2,yes,no,no,no,no,0,yes
431,65000.0,5320,3,1,2,yes,yes,yes,no,no,0,yes
432,69000.0,6040,3,1,1,yes,no,no,no,no,2,yes
433,73000.0,11410,2,1,2,yes,no,no,no,no,0,yes
434,75000.0,8400,3,1,2,yes,yes,yes,no,yes,2,yes
